,Unnamed: 0,title,description,body,keyword,ne,cluster,vector,author,section,month,year,keyword_e,ne_e,cluster_e,vecctor_e
0,0,Additional bird flu case confirmed at duck farm in central S. Korea,"South Korea has confirmed a fresh case of avian influenza at a duck farm in the southwestern region, the agriculture ministry said Saturday, raising alarms in the major poultry production region already infected with highly pathogenic bird flu.The H5N6-strain bird flu was detected on a farm with 35,000 ducks in Yeongam, 380 kilometers south of Seoul, while quarantine officials were conducting an inspection in the cou...","South Korea has confirmed a fresh case of avian influenza at a duck farm in the southwestern region, the agriculture ministry said Saturday, raising alarms in the major poultry production region already infected with highly pathogenic bird flu.The H5N6-strain bird flu was detected on a farm with 35,000 ducks in Yeongam, 380 kilometers south of Seoul, while quarantine officials were conducting an inspection in the county, the Ministry of Agriculture, Food and Rural Affairs said.  It was located within 3 kilometers of another farm that reported the outbreak of a highly pathogenic AI on Dec. 19, which was put under restriction of movement of poultry, livestock breeders and equipment.An in-depth analysis into the virus has been under way to figure out whether it is highly pathogenic and the inspection result will be released in a couple of days, the ministry said. Highly pathogenic AI refers to viruses that cause severe disease in birds and result in high death rates.South Korea has been stepping up quarantine measures in the southwestern region, including culling of over 200,000 birds, to prevent further spread of the highly contagious virus.Last year, South Korea slaughtered more than 30 million birds to contain the worst outbreak of bird flu in the country's history.","h5n6 strain bird flu ,influenza at duck farm ,avian influenza at duck ,000 ducks in yeongam ,bird flu the h5n6","['South Korea', 'Yeongam', 'Seoul']",13,"[ 1.          1.          1.         ... -0.04952594  0.32805941
  0.34292153]",Yonhap,Social affairs,12,2017,"avian influenza at duck farm ,farm with 35 000 ducks ,pathogenic bird flu the h5n6 ,the h5n6 strain bird flu ,influenza at duck farm","['South Korea', 'Yeongam', 'Seoul', 'the Ministry of Agriculture , Food and Rural Affairs', 'ai', 'AI', 'South Korea', 'South Korea']",5,"[ 1.          1.          1.         ... -0.04952594  0.32805941
  0.34292153]"
1,1,Bank allegedly forced female staff to resign after marriage,"A branch of local bank Saemaul Financial Firm allegedly forced its female employees to resign after marriage. The head office is conducting an internal inspection on its branch at Gumi, North Gyeongsang Province. Five female employees of the branch are thought to have resigned against their will.  (Yonhap)In an interview with a local news outlet, one of the former employees said, “When I started my work, I was forc...","A branch of local bank Saemaul Financial Firm allegedly forced its female employees to resign after marriage. The head office is conducting an internal inspection on its branch at Gumi, North Gyeongsang Province. Five female employees of the branch are thought to have resigned against their will.  In an interview with a local news outlet, one of the former employees said, “When I started my work, I was forced to give a written promise to resign if I should get married. After reporting about my marriage plan, an executive official of the branch selected the date of my resignation.”The official denied her allegation, saying that the resignations were not “forced.”By Im Eun-byel","female employees to resign ,female staff to resign ,bank allegedly forced female ,forced its female employees ,resign after marriage","['Saemaul Financial Firm', 'Gumi', 'North Gyeongsang Province']",13,"[ 0.          0.          0.         ... -0.52992755  0.03627819
  0.6615057 ]",Im Eun-byel,Social affairs,12,2017,"its female employees to resign ,female employees to resign after ,female employees to resign ,employees to resign after marriage ,to resign after marriage","['Saemaul Financial Firm', 'Gumi', 'North Gyeongsang Province', 'Eun']",4,"[ 0.          0.          0.         ... -0.52992755  0.03627819
  0.6615057 ]"
2,2,"Presidential office admits importing anthrax vaccines, only for treatment","The presidential office on Sunday confirmed it imported anthrax vaccines this year, but denied claims that it has only vaccinated its officials against the disease.Cheong Wa Dae spokesperson Park Soo-hyun said in a press release that the purchase was planned by the former administration in early 2016 and that this was reflected in the budget this year.  Presidential office spokesman Park Soo-hyun (Yonhap)“The need ...","The presidential office on Sunday confirmed it imported anthrax vaccines this year, but denied claims that it has only vaccinated its officials against the disease.Cheong Wa Dae spokesperson Park Soo-hyun said in a press release that the purchase was planned by the former administration in early 2016 and that this was reflected in the budget this year.  Presidential office spokesman Park Soo-hyun “The need to introduce anthrax vaccines came after the anthrax delivery accident at the US military base here in 2015. And we purchased the vaccines, not to prevent but to treat the disease, in case of biological terror attacks,” Park said in the statement. In 2015, potentially live lethal bacteria was “unintentionally” sent by a military laboratory in Utah in the United States to Osan Air Base in Gyeonggi Province.On Wednesday, a Japanese news outlet claimed that North Korea was testing ways to load biological weapons on its missiles. Following the report, a local media outlet said the presidential office had purchased 500 doses of anthrax vaccines for its officials and the president.Soon after the series of reports, criticism arose among the public, and more than 2,000 people signed online petitions demanding for the government to vaccinate all citizens against the fatal disease. Cheong Wa Dae said it imported 350 doses of anthrax vaccines on Nov. 2, after getting approval from the Ministry of Food and Drug Safety in July. It said it had stored them in a national army hospital.“The vaccine is much more effective for treating the infections when used with an antiviral agent. We have not performed clinical tests of the vaccines, so we will only use them to treat the disease, not for prevention,” the spokesman said. The government added that Korea Centers for Disease Control and Prevention have anthrax vaccines for 1,000 patients prepared, in case of biological terror attacks. Regarding the news report that claimed the presidential office is to inoculate only its 500 officials against the disease, the presidential office said it will take legal action. Anthrax is an infection caused by the bacteria Bacillus anthracis. It is known to be fatal and is called a biological weapon. In addition to the Japanese news report, US National Security Strategy on Monday said that North Korea is pursuing chemical and biological weapons that could be delivered by missiles. However, the communist regime denied the allegation. “The DPRK, as a state party to the Biological Weapons Convention, maintains its consistent stance to oppose development, manufacture, stockpiling and possession of biological weapons,” the North’s Institute for American Studies, affiliated with its Foreign Ministry, was quoted as saying by the Korean Central News Agency. Pyongyang is estimated to have 13 types of pathogens such as anthrax and clostridium botulinum that can be used as biological weapons, according to a 2016 report by the Korea Institute for Defense Analyses.By Jo He-rim","anthrax vaccines this year ,importing anthrax vaccines only ,it imported anthrax vaccines ,anthrax vaccines only for ,importing anthrax vaccines",['Park Soo - hyun'],13,"[ 0.          0.          0.         ... -0.63838476  0.27949813
  0.21912214]",Jo He-rim,Social affairs,12,2017,"imported anthrax vaccines this year ,anthrax vaccines for 000 patients ,anthrax vaccines on nov after ,anthrax vaccines this year ,of anthrax vaccines on nov","['Park Soo - hyun', 'US', 'Park', 'Utah', 'the United States', 'Osan Air Base', 'Gyeonggi Province', 'japanese', 'North Korea', 'Dae', 'the Ministry of Food and Drug Safety', 'Korea Centers for Disease Control and Prevention', 'japanese', 'US National Security Strategy', 'North Korea', 'the North ’s Institute for American Studies', 'Foreign Ministry', 'the Korean Central News Agency', 'Pyongyang', 'the Korea Institute for Defense Analyses', 'Jo He - rim']",6,"[ 0.          0.          0.         ... -0.63838476  0.27949813
  0.21912214]"
3,3,Two types of highly pathogenic bird flu detected in Korea: quarantine agency,"South Korea's quarantine agency said Wednesday at least two strains of highly pathogenic avian influenza have entered the nation via migratory birds this winter.The Animal and Plant Quarantine Agency announced the results of DNA analysis into viruses detected at two duck farms in Gochang and Yeongam, both in Jeolla Province. The virus discovered in Gochang on Nov. 19 was the H5N6 bird flu, which arose from the reasso...","South Korea's quarantine agency said Wednesday at least two strains of highly pathogenic avian influenza have entered the nation via migratory birds this winter.The Animal and Plant Quarantine Agency announced the results of DNA analysis into viruses detected at two duck farms in Gochang and Yeongam, both in Jeolla Province. The virus discovered in Gochang on Nov. 19 was the H5N6 bird flu, which arose from the reassortment between a highly pathogenic H5N8 that spread in Europe in late 2016 and a low-pathogenic N6 virus, the APQA said.It was identical to the one found on the southern island of Jeju from Nov. 27-Dec. 2. The strain discovered in Yeongam on Dec. 10 was also H5N6, but its viral sequence had a slightly different pattern from the one in Gochang, it noted.Highly pathogenic avian influenza is a variety of viruses that cause severe disease in birds and result in high death rates, according to the World Health Organization.On Wednesday, the agriculture ministry said the H5 strain AI was newly discovered at a farm in Yeongam, which had received baby ducks from the affected farm about 40 days ago. The latest outbreak took place at a farm with 31,300 ducks, located 11 kilometers from the affected farm that had been under monitoring since last week.With the discovery, quarantine officials issued a ""standstill"" order for poultry farms to ban the movement of farmers, vehicles and equipment for 24 hours. The ministry said it plans to announce whether the latest outbreak involves a highly pathogenic strain as early as Thursday.Also, the government confirmed that it was the highly pathogenic H6N6 strain discovered in wild bird droppings on Dec. 13 in Yongin, south of Seoul. It is the fourth case discovered in bird excretions in two months. One case occured in mid-November in Jeolla Province, and two others were discovered on Jeju Island in late November. South Korea has been stepping up quarantine measures in duck farms in its southwestern region as outbreaks of highly pathogenic bird flu caused alarm in the major duck producing area.Quarantine officials culled 76,000 ducks at five duck farms located within a 3-kilometer radius of the affected site earlier this month as Jeolla Province is the nation's largest duck producing region. Last year, South Korea slaughtered more than 30 million birds to contain the worst outbreak of bird flu to have hit the country.","flu detected in korea ,the h5n6 bird flu ,pathogenic bird flu detected ,highly pathogenic avian influenza ,pathogenic avian influenza","[""South Korea 's"", 'Animal', 'Plant Quarantine Agency', 'Gochang', 'Yeongam', 'Jeolla Province', 'Gochang']",13,"[ 1.          1.          0.         ... -0.38282004  0.07807318
  0.04489185]",Yonhap,Social affairs,12,2017,"viruses detected at two duck ,h5n6 bird flu which arose ,noted highly pathogenic avian influenza ,the h5n6 bird flu ,the h5n6 bird flu which","[""South Korea 's"", 'Animal', 'Plant Quarantine Agency', 'Gochang', 'Yeongam', 'Jeolla Province', 'Gochang', 'apqa', 'Jeju', 'Yeongam', 'Gochang', 'the World Health Organization', 'AI', 'Yeongam', 'Yongin', 'Seoul', 'Jeolla Province', 'South Korea', 'Jeolla Province', 'South Korea']",5,"[ 1.          1.          0.         ... -0.38282004  0.07807318
  0.04489185]"
4,4,Spy agency suspects N. Korean involvement in recent hackings into cryptocurrency exchange,"South Korea's spy agency suspects North Korea might be involved in recent hacking incidents related to cryptocurrency, according to sources on Saturday. (Yonhap)The National Intelligence Service (NIS) is said to have secured evi dence that the North was involved in stealing the personal information of some 30,000 people from Bithumb, the country's biggest cryptocurrency exchange, back in June, as well as robbing virt...","South Korea's spy agency suspects North Korea might be involved in recent hacking incidents related to cryptocurrency, according to sources on Saturday. The National Intelligence Service  is said to have secured evi dence that the North was involved in stealing the personal information of some 30,000 people from Bithumb, the country's biggest cryptocurrency exchange, back in June, as well as robbing virtual money at another exchange Coinis in September.The NIS reportedly confirmed that the same code used by Lazarus, a group accused of being behind the 2014 Sony hack, was used in the previous two cases.The evidence is said to have been passed to the prosecution for further investigation. The Supreme Prosecutors' Office has been handling the former case, while the latter is being taken care of by local police.","recent hackings into cryptocurrency ,in recent hacking incidents ,spy agency suspects korean ,recent hacking incidents ,recent hacking incidents related","[""South Korea 's"", 'North Korea', 'Yonhap)The National Intelligence Service', 'NIS', 'Bithumb']",13,"[ 1.          0.          0.         ... -0.43463334  0.77614474
  0.20220599]",Yonhap,North Korea,12,2017,"involved in recent hacking incidents ,in recent hacking incidents ,hacking incidents related to cryptocurrency ,cryptocurrency exchange back in june ,recent hacking incidents related to","[""South Korea 's"", 'North Korea', 'the National Intelligence Service', 'Bithumb', 'Coinis', 'NIS', 'Lazarus', 'Sony', ""the Supreme Prosecutors ' Office""]",16,"[ 1.          0.          0.         ... -0.43463334  0.77614474
  0.20220599]"
5,5, Ban on after-school English education faces backlash,"Starting from March next year, elementary schools nationwide will be banned from running English education to first and second graders. The measure’s stated goal is to alleviate study burdens on young students by banning advanced learning. Currently, English is taught from third grade on.  　   But critics argue it would also lead to the loss of thousands of jobs of English instructors and eliminate low-income st...","Starting from March next year, elementary schools nationwide will be banned from running English education to first and second graders. The measure’s stated goal is to alleviate study burdens on young students by banning advanced learning. Currently, English is taught from third grade on.     But critics argue it would also lead to the loss of thousands of jobs of English instructors and eliminate low-income students’ access to affordable education.    “My son has received high quality English education after school, three times a week, just for 50,000 won per month. Now, I have to find him a private hagwon or a tutor because the government is axing English from next year’s after-school curriculum,” said a mother of a first grader who lives in Changwon, South Gyeongsang Province.After-school teachers stage a protest in front of the Gwangju Metropolitan Office of Education on Friday, demonstrating against the government`s decision to ban after-school English classes for first- and second-graders. Another mother of two, surnamed Lee, called the ministry’s decision “a complete nonsense.” Even preschool children are taking private English lessons nowadays, she said. “What’s the point of banning the most affordable, school-run courses when those private courses are all in tact?” Lee said. According to a survey published by the Korea Institute of Child Care and Education, nearly 85 percent of 5-year-olds received private education as of last year, with English being the fourth most popular subjects after the Korean language, sports and arts. For about 7,000 after-school English instructors, mostly of them hired on temporary contracts, it is also a matter of job security. There are around 130,000 contract teachers who run after-school programs at school nationwide, teaching subjects like English, science, history, art, music and physical education. English is the most favored subject of all among parents, yet is the only subject to the prior learning ban. History is taught from fifth grade on, yet history-related after-hour classes are not subject to the ban. Kim Kyung-hee, an after-school teacher and head of the After-school Teacher Union, said the new rule threatens their jobs as well as taking away from their pupils the opportunity to learn English at a minimum cost. “The majority of the English classes at elementary school are for first and second graders. There was really no consideration whatsoever for contract teachers like ourselves in the government’s decision making, whose livelihood depends heavily on the classes they are about to shut down,” Kim said. Another teacher, surnamed Jung, who teaches first, third and sixth graders at elementary school in Jinju, some 434 kilometers south of Seoul, said her classes are one of just two English courses available outside the school in the suburb area.“There is just one private English institute near our school as far as I know, certainly not enough to accommodate all first and second graders even if their parents want to send their children there,” Jung said. The union’s teachers are planning to stage a rally in front of local education offices to protest the looming shutdown. Separately, an online petition on the website of Cheong Wa Dae protesting the ban has gathered over 18,000 signatures so far. “About 240,000 first and second grade students at over 4,800 elementary schools nationwide receive English education through the after-school programs,” the petitioner wrote in the petition, claiming the programs should be allowed to continue. An official from the Ministry of Education told The Korea Herald that the shutdown will take place as planned next March. By Bak Se-hwan","nationwide will be banned ,english education faces backlash ,by banning advanced learning ,ban on after school ,students by banning advanced",['english'],13,"[ 0.          0.          0.         ... -0.33665982  0.31602639
  0.10798748]",Bak Se-hwan,Education,12,2017,"schools nationwide will be banned ,banning the most affordable school ,after school three times week ,education on friday demonstrating against ,ban after school english classes","['english', 'Changwon', 'South Gyeongsang Province', 'the Gwangju Metropolitan Office of Education', 'Lee', 'Lee', 'the Korea Institute of Child Care and Education', 'korean', 'english', 'Kim Kyung - hee', 'Kim', 'Jung', 'Seoul', 'english', 'Jung', 'the Ministry of Education', 'the Korea Herald', 'Bak Se - hwan']",0,"[ 0.          0.          0.         ... -0.33665982  0.31602639
  0.10798748]"
6,6,S. Korea confirms highly pathogenic bird flu at duck farm,"The Agriculture Ministry confirmed an outbreak of the highly pathogenic H5N6 bird flu at a duck farm in Yeongam, South Jeolla Province, Monday.This is the fourth confirmation of highly pathogenic bird flu this season.The government on Monday culled some 76,000 ducks at five farms located within a 3 kilometer radius of the original farm where the highly pathogenic strain of bird flu was detected. Since Monday midnight...","The Agriculture Ministry confirmed an outbreak of the highly pathogenic H5N6 bird flu at a duck farm in Yeongam, South Jeolla Province, Monday.This is the fourth confirmation of highly pathogenic bird flu this season.The government on Monday culled some 76,000 ducks at five farms located within a 3 kilometer radius of the original farm where the highly pathogenic strain of bird flu was detected. Since Monday midnight, a transportation ban was issued on all livestock industry persons across Daejeon, Gwangju, Sejong, South Chungcheong and South and North Jeolla provinces. Authorities vaccinate duck farms Yeongam is about 380 kilometers south of Seoul. The rural region is home to one of Korea’s biggest duck farms. Together with the adjacent Naju, the area accounted for 52 percent of the entire domestic duck produce in the third quarter of this year.  The farm where the virus was detected is one that supplies breeding ducks to other farms. About 10 farms were found to have taken ducklings from this farm in recent month. The trucks that transported the baby ducks made visits to some 30 other farms over the month, raising the possibility of secondary infection. By Lim Jeong-yeo","pathogenic h5n6 bird flu ,ducks at five farms ,flu at duck farm ,h5n6 bird flu at ,000 ducks at five","['the Agriculture Ministry', 'Yeongam', 'South Jeolla Province']",13,"[ 0.          1.          0.         ... -0.47829005  0.00105305
  0.41747123]",Lim Jeong-yeo,Social affairs,12,2017,"h5n6 bird flu at duck ,000 ducks at five farms ,provinces authorities vaccinate duck farms ,flu was detected since monday ,bird flu at duck farm","['the Agriculture Ministry', 'Yeongam', 'South Jeolla Province', 'Daejeon , Gwangju , Sejong , South Chungcheong', 'North Jeolla', 'Yeongam', 'Seoul', 'Korea', 'Naju', 'Lim Jeong - yeo']",5,"[ 0.          1.          0.         ... -0.47829005  0.00105305
  0.41747123]"
7,7,Korea confirms highly pathogenic AI at duck farm,"South Korea confirmed an outbreak of highly pathogenic avian influenza at a duck farm in the southwestern region and culled 76,000 ducks to prevent the further spread of the virus, the agriculture ministry said Monday.The H5N6 bird flu was discovered on a farm in Yeongam, 380 kilometers south of Seoul, on Sunday, the Ministry of Agriculture, Food and Rural Affairs said. It marks the fourth confirmation of highly path...","South Korea confirmed an outbreak of highly pathogenic avian influenza at a duck farm in the southwestern region and culled 76,000 ducks to prevent the further spread of the virus, the agriculture ministry said Monday.The H5N6 bird flu was discovered on a farm in Yeongam, 380 kilometers south of Seoul, on Sunday, the Ministry of Agriculture, Food and Rural Affairs said. It marks the fourth confirmation of highly pathogenic AI this season, following two outbreaks in Jeolla Province and one on the southern island of Jeju last month.  Highly pathogenic avian influenza refers to viruses that cause severe disease in birds and result in high death rates, according to the World Health Organization.The ministry said 76,000 ducks were slaughtered at five duck farms located within a 3-kilometer radius of the site to prevent a wider spread of the highly contagious virus. Quarantine officials issued a transportation ban and stepped up disinfection measures at nearby farms, with in-depth inspections into ducks in the region currently under way, the ministry said.Last year, South Korea slaughtered more than 30 million birds to contain the worst outbreak of bird flu that had hit the country.","the h5n6 bird flu ,culled 76 000 ducks ,influenza at duck farm ,avian influenza at duck ,h5n6 bird flu","['South Korea', 'Yeongam', 'Seoul', 'the Ministry of Agriculture , Food and Rural Affairs']",13,"[ 1.          1.          1.         ... -0.27165359  0.05154366
  0.4077239 ]",Yonhap,Social affairs,12,2017,"monday the h5n6 bird flu ,month highly pathogenic avian influenza ,avian influenza at duck farm ,pathogenic avian influenza at duck ,slaughtered at five duck farms","['South Korea', 'Yeongam', 'Seoul', 'the Ministry of Agriculture , Food and Rural Affairs', 'ai', 'Jeolla Province', 'Jeju', 'the World Health Organization', 'South Korea']",5,"[ 1.          1.          1.         ... -0.27165359  0.05154366
  0.4077239 ]"
8,8,Smoking at apartment balconies could be restricted from 2018,"Apartment complexes are on track to face much stricter smoking rules, as the revised rule is to take effect from February. The Ministry of Health and Welfare and the Ministry of Land, Infrastructure and Transport announced Monday, that the government will toughen the level of restricting smoking at multi-dwelling units through a legal revision, which will take effect from Feb. 10. (Yonhap)Previously, common areas --...","Apartment complexes are on track to face much stricter smoking rules, as the revised rule is to take effect from February. The Ministry of Health and Welfare and the Ministry of Land, Infrastructure and Transport announced Monday, that the government will toughen the level of restricting smoking at multi-dwelling units through a legal revision, which will take effect from Feb. 10. Previously, common areas -- such as elevators, stairs and hallways -- were considered as “manageable spaces” at apartment complexes. The managing authorities could designate the spaces as non-smoking areas, with the consent from the half of the residents. But balconies and bathrooms in individual units have been out of hands, as they are private spaces. With the revision, a resident, sensing that someone is smoking, can report the claim to the management authorities. The authorities will have the right to investigate the matter by searching private dwellings. After finding the smoker, it also will be able to advise that the individual does not smoke in the unit anymore, because it causes harm to other residents. By Im Eun-byel","much stricter smoking rules ,from 2018 apartment complexes ,stricter smoking rules ,the government will toughen ,stricter smoking rules as","['the Ministry of Health and Welfare', 'the Ministry of Land , Infrastructure and Transport']",13,"[ 0.          0.          0.         ... -0.44634101  0.13418877
  0.39124215]",Im Eun-byel,Social affairs,12,2017,"face much stricter smoking rules ,much stricter smoking rules ,to face much stricter smoking ,stricter smoking rules as the ,government will toughen the level","['the Ministry of Health and Welfare', 'the Ministry of Land , Infrastructure and Transport']",0,"[ 0.          0.          0.         ... -0.44634101  0.13418877
  0.39124215]"
9,9,Ministry vows efforts for better treatment of migrant workers,"The government said Thursday that it would improve labor standards for migrant workers and enhance efforts to prevent workplace accidents, after the nation’s human rights watchdog urged it to do more for their safety and labor rights.The Ministry of Employment and Labor plans to lay out new guidelines on the living conditions of migrant workers, as many live in lodging facilities provided by their employer, after an...","The government said Thursday that it would improve labor standards for migrant workers and enhance efforts to prevent workplace accidents, after the nation’s human rights watchdog urged it to do more for their safety and labor rights.The Ministry of Employment and Labor plans to lay out new guidelines on the living conditions of migrant workers, as many live in lodging facilities provided by their employer, after an inspection of some of the living quarters. It also plans to revise a relevant act to guarantee them overtime pay, sick leave and paid holidays.  “We will conduct an inspection on migrant workers’ lodging conditions and working conditions in the construction sector first and expand it into other sectors and set out new guidelines, if necessary, next year,” an official from the ministry told The Korea Herald. The National Human Rights Commission of Korea welcomed the decision. In June, it had asked the ministry to improve human rights protection for foreign workers exposed to poor working conditions and work accidents. According to its report on foreign construction workers published in 2015, 16 percent had not signed a written contract, and even if they did, 36.8 percent were not provided a copy of the contract. They worked 10.5 hours a day on average and 6.6 percent worked more than 12 hours, the report showed. As for housing, some 33 percent lived in temporary housing and 17.6 percent lived in cheap motels or at saunas. Some 61 percent of the housing had no kitchen or cooking facilities, 7 percent of the residences did not have locks and 6 percent had no windows. There has been criticism of the ministry’s existing guidelines, which were released in February. It allows employers to deduct up to 20 percent from foreign workers’ monthly wages in return for the lodging they offer, upon the workers’ consent. “In reality, the guideline is being exploited. Many migrant workers live in lodging facilities their employers offered -- such as container boxes or vinyl green houses -- and have their income deducted,” said Park Jin-woo, an activist for Seoul-Gyeonggi-Incheon Migrants’ Trade, adding it is a priority to scrap the guideline first to improve living conditions for migrant workers. “Many migrant workers work overtime and until late at night, but their working hours are not officially recorded . So they end up not getting paid what they deserve,” said Park, who has given counselling to migrant workers living here. The Labor Ministry also said it will tighten monitoring of whether employers gave foreign workers in the construction sector proper training on how to prevent accidents at work and expand education on their labor rights. According to Labor Ministry data, 1,777 people died in work accidents in 2016 -- 31.2 percent of them on construction sites. The latest data showed some 4.9 million construction workers here in 2015, with foreign workers accounting for 8 percent of them. Migrant workers appear to be more exposed to work-related accidents in the construction sector. Out of 88 foreign workers who suffered workplace accidents last year, 45.5 percent were working at construction sites. A separate study on 337 foreign construction workers by IOM Migration Research & Training Center in 2015 showed that 67.9 percent of migrant workers injured on the job did not receive governmental industrial accident compensation. “Foreign workers find it difficult to receive compensation due to lack of proper equipment and language barriers. Also, employers often try to cover up work accidents and migrant workers are more exposed to dangerous work,” Park said. By Ock Hyun-ju","better treatment of migrant ,prevent workplace accidents after ,treatment of migrant workers ,to prevent workplace accidents ,workplace accidents after the",['the Ministry of Employment and Labor'],13,"[ 0.          0.          0.         ... -0.82575899 -0.37688428
  0.37996015]",Ock Hyun-ju,Social affairs,12,2017,"improve labor standards for migrant ,migrant workers work overtime and ,guarantee them overtime pay sick ,workers work overtime and until ,inspection on migrant workers lodging","['the Ministry of Employment and Labor', 'the Korea Herald', 'the National Human Rights Commission', 'Korea', 'Park Jin - woo', 'Seoul - Gyeonggi - Incheon Migrants ’ Trade', 'Park', 'the Labor Ministry', 'Labor Ministry', 'IOM Migration Research & Training Center', 'Park', 'Ock Hyun - ju']",3,"[ 0.          0.          0.         ... -0.82575899 -0.37688428
  0.37996015]"
